,rt,accuracy,condition,block,node type,participant,phase
0,8.42716812202707,1.0,unstructured,0,boundary,24067.0,exposure
1,2.3223765352740884,1.0,unstructured,0,nonboundary,24067.0,exposure
2,1.6373103242367506,1.0,unstructured,0,boundary,24067.0,exposure
3,3.258539522998035,1.0,unstructured,0,boundary,24067.0,exposure
4,2.4401673460379243,1.0,unstructured,0,boundary,24067.0,exposure
5,3.9744440652430058,0.0,unstructured,0,nonboundary,24067.0,exposure
6,2.623468633275479,1.0,unstructured,0,nonboundary,24067.0,exposure
7,2.1254451549611986,1.0,unstructured,0,boundary,24067.0,exposure
8,1.1682884129695594,0.0,unstructured,0,boundary,24067.0,exposure
9,1.6890962272882462,1.0,unstructured,0,nonboundary,24067.0,exposure
10,1.2372381817549467,1.0,unstructured,0,boundary,24067.0,exposure
11,2.1154731973074377,1.0,unstructured,0,nonboundary,24067.0,exposure
12,0.9749602312222124,1.0,unstructured,0,nonboundary,24067.0,exposure
13,1.0477688666433096,1.0,unstructured,0,nonboundary,24067.0,exposure
14,3.5329371034167707,0.0,unstructured,0,nonboundary,24067.0,exposure
15,1.0238791503943503,1.0,unstructured,0,nonboundary,24067.0,exposure
16,1.830410910304636,0.0,unstructured,0,boundary,24067.0,exposure
17,1.021534672472626,1.0,unstructured,0,nonboundary,24067.0,exposure
18,0.9803944593295456,1.0,unstructured,0,boundary,24067.0,exposure
19,2.28486849879846,1.0,unstructured,0,nonboundary,24067.0,exposure
20,1.1533959778025746,1.0,unstructured,0,nonboundary,24067.0,exposure
21,1.4268925320357084,1.0,unstructured,0,nonboundary,24067.0,exposure
22,1.408724708482623,1.0,unstructured,0,nonboundary,24067.0,exposure
23,1.8802670780569315,1.0,unstructured,0,boundary,24067.0,exposure
24,0.8210351085290313,1.0,unstructured,0,boundary,24067.0,exposure
25,1.4518420472741127,1.0,unstructured,0,nonboundary,24067.0,exposure
26,3.72945223050192,1.0,unstructured,0,nonboundary,24067.0,exposure
27,3.0364594059064984,1.0,unstructured,0,nonboundary,24067.0,exposure
28,1.4176972373388708,1.0,unstructured,0,boundary,24067.0,exposure
29,1.23988300235942,1.0,unstructured,0,boundary,24067.0,exposure
30,1.150069878436625,1.0,unstructured,0,nonboundary,24067.0,exposure
31,0.7918264716863632,1.0,unstructured,0,boundary,24067.0,exposure
32,2.007604236714542,1.0,unstructured,0,boundary,24067.0,exposure
33,1.2791463043540716,1.0,unstructured,0,nonboundary,24067.0,exposure
34,3.931109696161002,1.0,unstructured,0,boundary,24067.0,exposure
35,3.630093966145069,0.0,unstructured,0,boundary,24067.0,exposure
36,1.0930495727807283,1.0,unstructured,0,nonboundary,24067.0,exposure
37,1.4171849954873323,0.0,unstructured,0,boundary,24067.0,exposure
38,1.143986368086189,1.0,unstructured,0,nonboundary,24067.0,exposure
39,1.5061321086250246,0.0,unstructured,0,boundary,24067.0,exposure
40,1.213654845021665,1.0,unstructured,0,nonboundary,24067.0,exposure
41,1.7081110454164443,1.0,unstructured,0,nonboundary,24067.0,exposure
42,0.8716323208063841,1.0,unstructured,0,nonboundary,24067.0,exposure
43,1.8601393345743416,1.0,unstructured,0,nonboundary,24067.0,exposure
44,0.8659741193987429,1.0,unstructured,0,nonboundary,24067.0,exposure
45,1.9904183358885348,1.0,unstructured,0,boundary,24067.0,exposure
46,0.8549483986571431,1.0,unstructured,0,nonboundary,24067.0,exposure
47,1.0841482817195356,0.0,unstructured,0,boundary,24067.0,exposure
48,1.648250621277839,0.0,unstructured,0,boundary,24067.0,exposure
