,rt,old or new,accuracy,test item,condition,trials,block,node type,participant,resp_old,response,node_type,participant_id,stim chosen,trials_exposure,path id,rt_exposure,accuracy_exposure
33,1.144491667393595,new,1.0,stimuli/14.png,unstructured,33,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
34,2.424991170875728,new,1.0,stimuli/23.png,unstructured,34,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
35,1.3079558932222426,old,1.0,stimuli/265.png,unstructured,35,1,nonboundary,24067.0,1,1,nonboundary,24067.0,stimuli/265.png,404.8333333333333,13.0,1.1525820691862867,0.9444444444444444
36,1.2324994187802076,new,1.0,stimuli/129.png,unstructured,36,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
37,1.7707101656123996,old,1.0,stimuli/170.png,unstructured,37,1,boundary,24067.0,1,1,boundary,24067.0,stimuli/170.png,379.75,5.0,1.5656725699082017,0.875
38,1.014924431219697,old,1.0,stimuli/148.png,unstructured,38,1,nonboundary,24067.0,1,1,nonboundary,24067.0,stimuli/148.png,377.5625,12.0,1.2908772250520997,0.8125
39,1.3324619894847274,new,1.0,stimuli/293.png,unstructured,39,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
40,2.6847172710113227,new,1.0,stimuli/124.png,unstructured,40,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
41,0.9259815444238484,new,1.0,stimuli/91.png,unstructured,41,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
42,1.7535321121104062,new,1.0,stimuli/117.png,unstructured,42,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
43,1.172402343712747,old,1.0,stimuli/101.png,unstructured,43,1,nonboundary,24067.0,1,1,nonboundary,24067.0,stimuli/101.png,395.0,3.0,1.303749507457456,0.8235294117647058
44,1.1392811108380556,new,0.0,stimuli/138.png,unstructured,44,1,new,24067.0,1,1,new,24067.0,,,,,0.8913161021984551
45,1.3002112959511578,new,1.0,stimuli/132.png,unstructured,45,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
46,0.8910642969422042,old,1.0,stimuli/207.png,unstructured,46,1,nonboundary,24067.0,1,1,nonboundary,24067.0,stimuli/207.png,349.55,2.0,0.8563043596455827,0.95
47,2.795617119874805,old,0.0,stimuli/57.png,unstructured,47,1,boundary,24067.0,0,-1,boundary,24067.0,stimuli/57.png,361.4,14.0,1.173280227681001,0.6666666666666666
48,1.6055709668435156,new,1.0,stimuli/204.png,unstructured,48,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
49,1.026774507947266,old,1.0,stimuli/52.png,unstructured,49,1,boundary,24067.0,1,1,boundary,24067.0,stimuli/52.png,382.4736842105263,4.0,0.7360960561046866,1.0
50,0.9222621340304613,old,1.0,stimuli/136.png,unstructured,50,1,boundary,24067.0,1,1,boundary,24067.0,stimuli/136.png,390.4166666666667,10.0,1.2319395603068795,0.9166666666666666
51,0.9631318878382444,new,1.0,stimuli/290.png,unstructured,51,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
52,1.1956473048776388,new,1.0,stimuli/297.png,unstructured,52,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
53,1.1204960020259023,new,1.0,stimuli/94.png,unstructured,53,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
54,1.0427267435006797,old,1.0,stimuli/209.png,unstructured,54,1,boundary,24067.0,1,1,boundary,24067.0,stimuli/209.png,373.05555555555554,0.0,1.473432997888368,0.5555555555555556
55,1.20726133370772,old,1.0,stimuli/5.png,unstructured,55,1,boundary,24067.0,1,1,boundary,24067.0,stimuli/5.png,364.1764705882353,9.0,0.7907213054816512,1.0
56,1.1177482497878373,new,1.0,stimuli/71.png,unstructured,56,1,new,24067.0,0,-1,new,24067.0,,,,,0.8913161021984551
57,1.2666119309142232,old,1.0,stimuli/154.png,unstructured,57,1,nonboundary,24067.0,1,1,nonboundary,24067.0,stimuli/154.png,396.6666666666667,11.0,0.8111102994220952,0.9333333333333333
58,1.125482282601297,new,0.0,stimuli/45.png,unstructured,58,1,new,24067.0,1,1,new,24067.0,,,,,0.8913161021984551
59,1.1370099820196629,old,0.0,stimuli/177.png,unstructured,59,1,nonboundary,24067.0,0,-1,nonboundary,24067.0,stimuli/177.png,375.63157894736844,7.0,1.0120170637965202,1.0
