,Prolific ID,test_index,num_feats,Correct Response,test_key_resp.corr,test_key_resp.rt,graph_type
19,5fdee9abe7fadb6d92418b3a,9.0,1.0,left,1.0,7.0335,structured
20,5fdee9abe7fadb6d92418b3a,47.0,4.0,right,1.0,20.9794,structured
21,5fdee9abe7fadb6d92418b3a,36.0,4.0,right,0.0,7.1279,structured
22,5fdee9abe7fadb6d92418b3a,45.0,4.0,right,1.0,16.0878,structured
23,5fdee9abe7fadb6d92418b3a,39.0,4.0,right,1.0,4.4002,structured
24,5fdee9abe7fadb6d92418b3a,25.0,3.0,right,1.0,10.7203,structured
25,5fdee9abe7fadb6d92418b3a,10.0,1.0,left,0.0,14.9436,structured
26,5fdee9abe7fadb6d92418b3a,23.0,2.0,left,1.0,12.3106,structured
27,5fdee9abe7fadb6d92418b3a,34.0,3.0,right,0.0,5.4975,structured
28,5fdee9abe7fadb6d92418b3a,44.0,4.0,left,1.0,14.7265,structured
29,5fdee9abe7fadb6d92418b3a,42.0,4.0,right,1.0,5.1896,structured
30,5fdee9abe7fadb6d92418b3a,17.0,2.0,left,0.0,10.8473,structured
31,5fdee9abe7fadb6d92418b3a,24.0,3.0,left,0.0,7.2521,structured
32,5fdee9abe7fadb6d92418b3a,18.0,2.0,right,0.0,15.8228,structured
33,5fdee9abe7fadb6d92418b3a,16.0,2.0,left,0.0,9.0025,structured
34,5fdee9abe7fadb6d92418b3a,30.0,3.0,right,0.0,8.5012,structured
35,5fdee9abe7fadb6d92418b3a,31.0,3.0,left,1.0,10.9578,structured
36,5fdee9abe7fadb6d92418b3a,43.0,4.0,left,1.0,13.9191,structured
37,5fdee9abe7fadb6d92418b3a,29.0,3.0,left,1.0,7.7168,structured
38,5fdee9abe7fadb6d92418b3a,4.0,1.0,right,0.0,7.5426,structured
39,5fdee9abe7fadb6d92418b3a,41.0,4.0,right,1.0,12.9415,structured
40,5fdee9abe7fadb6d92418b3a,38.0,4.0,right,1.0,9.8788,structured
41,5fdee9abe7fadb6d92418b3a,14.0,2.0,left,1.0,6.1364,structured
42,5fdee9abe7fadb6d92418b3a,11.0,1.0,left,0.0,19.7306,structured
43,5fdee9abe7fadb6d92418b3a,13.0,2.0,right,1.0,4.8121,structured
44,5fdee9abe7fadb6d92418b3a,8.0,1.0,right,0.0,8.4418,structured
45,5fdee9abe7fadb6d92418b3a,35.0,3.0,left,0.0,6.3772,structured
46,5fdee9abe7fadb6d92418b3a,2.0,1.0,left,1.0,9.3523,structured
47,5fdee9abe7fadb6d92418b3a,37.0,4.0,right,1.0,7.3376,structured
0,668173b163416a1702c222f5,22.0,2.0,left,0.0,8.794,structured
1,668173b163416a1702c222f5,32.0,3.0,right,0.0,3.994,structured
2,668173b163416a1702c222f5,1.0,1.0,right,0.0,12.964,structured
3,668173b163416a1702c222f5,46.0,4.0,left,1.0,12.481,structured
4,668173b163416a1702c222f5,20.0,2.0,left,1.0,6.833,structured
5,668173b163416a1702c222f5,18.0,2.0,right,1.0,5.948,structured
6,668173b163416a1702c222f5,30.0,3.0,left,1.0,6.42,structured
7,668173b163416a1702c222f5,5.0,1.0,left,0.0,13.244,structured
8,668173b163416a1702c222f5,29.0,3.0,right,1.0,9.142,structured
9,668173b163416a1702c222f5,23.0,2.0,right,1.0,7.498,structured
10,668173b163416a1702c222f5,3.0,1.0,right,1.0,5.913,structured
11,668173b163416a1702c222f5,39.0,4.0,left,0.0,11.001,structured
12,668173b163416a1702c222f5,28.0,3.0,right,0.0,6.311,structured
13,668173b163416a1702c222f5,15.0,2.0,left,1.0,4.333,structured
14,668173b163416a1702c222f5,17.0,2.0,left,1.0,6.206,structured
15,668173b163416a1702c222f5,11.0,1.0,left,0.0,11.189,structured
16,668173b163416a1702c222f5,16.0,2.0,left,0.0,22.048,structured
17,668173b163416a1702c222f5,37.0,4.0,left,1.0,8.343,structured
18,668173b163416a1702c222f5,25.0,3.0,left,1.0,5.047,structured
19,668173b163416a1702c222f5,47.0,4.0,right,1.0,3.659,structured
20,668173b163416a1702c222f5,8.0,1.0,right,1.0,4.271,structured
21,668173b163416a1702c222f5,9.0,1.0,right,1.0,5.354,structured
22,668173b163416a1702c222f5,40.0,4.0,left,1.0,5.389,structured
23,668173b163416a1702c222f5,21.0,2.0,left,0.0,8.871,structured
24,668173b163416a1702c222f5,27.0,3.0,right,1.0,6.778,structured
25,668173b163416a1702c222f5,7.0,1.0,left,0.0,7.247,structured
26,668173b163416a1702c222f5,33.0,3.0,left,1.0,5.301,structured
27,668173b163416a1702c222f5,43.0,4.0,right,1.0,4.41,structured
28,668173b163416a1702c222f5,19.0,2.0,left,1.0,3.356,structured
29,668173b163416a1702c222f5,12.0,2.0,right,1.0,6.839,structured
30,668173b163416a1702c222f5,14.0,2.0,right,1.0,5.71,structured
31,668173b163416a1702c222f5,44.0,4.0,left,1.0,5.37,structured
32,668173b163416a1702c222f5,42.0,4.0,right,1.0,7.255,structured
33,668173b163416a1702c222f5,6.0,1.0,left,0.0,5.308,structured
34,668173b163416a1702c222f5,31.0,3.0,right,0.0,7.97,structured
35,668173b163416a1702c222f5,10.0,1.0,right,1.0,4.103,structured
36,668173b163416a1702c222f5,13.0,2.0,left,1.0,4.652,structured
37,668173b163416a1702c222f5,35.0,3.0,left,1.0,4.683,structured
38,668173b163416a1702c222f5,26.0,3.0,left,1.0,4.859,structured
39,668173b163416a1702c222f5,36.0,4.0,left,1.0,7.062,structured
40,668173b163416a1702c222f5,4.0,1.0,right,1.0,3.139,structured
41,668173b163416a1702c222f5,24.0,3.0,right,1.0,3.139,structured
42,668173b163416a1702c222f5,34.0,3.0,left,1.0,4.083,structured
43,668173b163416a1702c222f5,2.0,1.0,left,0.0,4.351,structured
44,668173b163416a1702c222f5,0.0,1.0,left,1.0,3.819,structured
45,668173b163416a1702c222f5,45.0,4.0,left,1.0,4.557,structured
46,668173b163416a1702c222f5,41.0,4.0,right,0.0,9.15,structured
47,668173b163416a1702c222f5,38.0,4.0,left,0.0,19.585,structured
0,6678b4b376f5a53600732b1f,39.0,4.0,right,0.0,12.8509,structured
1,6678b4b376f5a53600732b1f,43.0,4.0,right,0.0,8.6784,structured
2,6678b4b376f5a53600732b1f,19.0,2.0,left,1.0,10.7079,structured
3,6678b4b376f5a53600732b1f,4.0,1.0,left,1.0,20.5419,structured
4,6678b4b376f5a53600732b1f,26.0,3.0,left,0.0,15.4832,structured
5,6678b4b376f5a53600732b1f,11.0,1.0,right,1.0,4.6978,structured
6,6678b4b376f5a53600732b1f,21.0,2.0,right,0.0,3.97,structured
7,6678b4b376f5a53600732b1f,28.0,3.0,left,1.0,18.9775,structured
8,6678b4b376f5a53600732b1f,6.0,1.0,left,0.0,7.1782,structured
9,6678b4b376f5a53600732b1f,31.0,3.0,left,1.0,4.0309,structured
10,6678b4b376f5a53600732b1f,20.0,2.0,right,1.0,3.1437,structured
